gate	gate_index	bootstrap_seed	progenitor_percentile	proliferation_percentile	progenitor_threshold	proliferation_threshold	sample_id	Mouse	condition_label	condition	responder_n	sample_total	proportion
progenitor_p80__proliferation_p25	1	6247	0.8	0.25	0.2960825334807699	-0.520094691550432	Mouse_10__control	10	p27CKO	control	9	351	0.02564102564102564
progenitor_p80__proliferation_p25	1	6247	0.8	0.25	0.2960825334807699	-0.520094691550432	Mouse_10__estim	10	p27CKO +EStim	estim	67	864	0.0775462962962963
progenitor_p80__proliferation_p25	1	6247	0.8	0.25	0.2960825334807699	-0.520094691550432	Mouse_30__estim	30	p27CKO +EStim	estim	18	344	0.05232558139534884
progenitor_p80__proliferation_p25	1	6247	0.8	0.25	0.2960825334807699	-0.520094691550432	Mouse_33__control	33	p27CKO	control	5	280	0.017857142857142856
progenitor_p80__proliferation_p25	1	6247	0.8	0.25	0.2960825334807699	-0.520094691550432	Mouse_3__control	3	p27CKO	control	51	944	0.05402542372881356
progenitor_p80__proliferation_p25	1	6247	0.8	0.25	0.2960825334807699	-0.520094691550432	Mouse_3__estim	3	p27CKO +EStim	estim	22	465	0.047311827956989246
progenitor_p80__proliferation_p50	2	3518	0.8	0.5	0.2960825334807699	-0.06700001433568928	Mouse_10__control	10	p27CKO	control	25	351	0.07122507122507123
progenitor_p80__proliferation_p50	2	3518	0.8	0.5	0.2960825334807699	-0.06700001433568928	Mouse_10__estim	10	p27CKO +EStim	estim	148	864	0.1712962962962963
progenitor_p80__proliferation_p50	2	3518	0.8	0.5	0.2960825334807699	-0.06700001433568928	Mouse_30__estim	30	p27CKO +EStim	estim	40	344	0.11627906976744186
progenitor_p80__proliferation_p50	2	3518	0.8	0.5	0.2960825334807699	-0.06700001433568928	Mouse_33__control	33	p27CKO	control	6	280	0.02142857142857143
progenitor_p80__proliferation_p50	2	3518	0.8	0.5	0.2960825334807699	-0.06700001433568928	Mouse_3__control	3	p27CKO	control	100	944	0.1059322033898305
progenitor_p80__proliferation_p50	2	3518	0.8	0.5	0.2960825334807699	-0.06700001433568928	Mouse_3__estim	3	p27CKO +EStim	estim	59	465	0.12688172043010754
progenitor_p90__proliferation_p25	3	9076	0.9	0.25	0.8411671330127669	-0.520094691550432	Mouse_10__control	10	p27CKO	control	4	351	0.011396011396011397
progenitor_p90__proliferation_p25	3	9076	0.9	0.25	0.8411671330127669	-0.520094691550432	Mouse_10__estim	10	p27CKO +EStim	estim	39	864	0.04513888888888889
progenitor_p90__proliferation_p25	3	9076	0.9	0.25	0.8411671330127669	-0.520094691550432	Mouse_30__estim	30	p27CKO +EStim	estim	9	344	0.02616279069767442
progenitor_p90__proliferation_p25	3	9076	0.9	0.25	0.8411671330127669	-0.520094691550432	Mouse_33__control	33	p27CKO	control	0	280	0
progenitor_p90__proliferation_p25	3	9076	0.9	0.25	0.8411671330127669	-0.520094691550432	Mouse_3__control	3	p27CKO	control	23	944	0.024364406779661018
progenitor_p90__proliferation_p25	3	9076	0.9	0.25	0.8411671330127669	-0.520094691550432	Mouse_3__estim	3	p27CKO +EStim	estim	15	465	0.03225806451612903
progenitor_p90__proliferation_p50	4	4661	0.9	0.5	0.8411671330127669	-0.06700001433568928	Mouse_10__control	10	p27CKO	control	14	351	0.039886039886039885
progenitor_p90__proliferation_p50	4	4661	0.9	0.5	0.8411671330127669	-0.06700001433568928	Mouse_10__estim	10	p27CKO +EStim	estim	96	864	0.1111111111111111
progenitor_p90__proliferation_p50	4	4661	0.9	0.5	0.8411671330127669	-0.06700001433568928	Mouse_30__estim	30	p27CKO +EStim	estim	21	344	0.061046511627906974
progenitor_p90__proliferation_p50	4	4661	0.9	0.5	0.8411671330127669	-0.06700001433568928	Mouse_33__control	33	p27CKO	control	1	280	0.0035714285714285713
progenitor_p90__proliferation_p50	4	4661	0.9	0.5	0.8411671330127669	-0.06700001433568928	Mouse_3__control	3	p27CKO	control	53	944	0.05614406779661017
progenitor_p90__proliferation_p50	4	4661	0.9	0.5	0.8411671330127669	-0.06700001433568928	Mouse_3__estim	3	p27CKO +EStim	estim	29	465	0.06236559139784946
progenitor_p95__proliferation_p25	5	7384	0.95	0.25	1.5468313652146728	-0.520094691550432	Mouse_10__control	10	p27CKO	control	1	351	0.002849002849002849
progenitor_p95__proliferation_p25	5	7384	0.95	0.25	1.5468313652146728	-0.520094691550432	Mouse_10__estim	10	p27CKO +EStim	estim	23	864	0.02662037037037037
progenitor_p95__proliferation_p25	5	7384	0.95	0.25	1.5468313652146728	-0.520094691550432	Mouse_30__estim	30	p27CKO +EStim	estim	6	344	0.01744186046511628
progenitor_p95__proliferation_p25	5	7384	0.95	0.25	1.5468313652146728	-0.520094691550432	Mouse_33__control	33	p27CKO	control	0	280	0
progenitor_p95__proliferation_p25	5	7384	0.95	0.25	1.5468313652146728	-0.520094691550432	Mouse_3__control	3	p27CKO	control	8	944	0.00847457627118644
progenitor_p95__proliferation_p25	5	7384	0.95	0.25	1.5468313652146728	-0.520094691550432	Mouse_3__estim	3	p27CKO +EStim	estim	7	465	0.015053763440860216
progenitor_p95__proliferation_p50	6	1859	0.95	0.5	1.5468313652146728	-0.06700001433568928	Mouse_10__control	10	p27CKO	control	5	351	0.014245014245014245
progenitor_p95__proliferation_p50	6	1859	0.95	0.5	1.5468313652146728	-0.06700001433568928	Mouse_10__estim	10	p27CKO +EStim	estim	50	864	0.05787037037037037
progenitor_p95__proliferation_p50	6	1859	0.95	0.5	1.5468313652146728	-0.06700001433568928	Mouse_30__estim	30	p27CKO +EStim	estim	11	344	0.03197674418604651
progenitor_p95__proliferation_p50	6	1859	0.95	0.5	1.5468313652146728	-0.06700001433568928	Mouse_33__control	33	p27CKO	control	0	280	0
progenitor_p95__proliferation_p50	6	1859	0.95	0.5	1.5468313652146728	-0.06700001433568928	Mouse_3__control	3	p27CKO	control	26	944	0.02754237288135593
progenitor_p95__proliferation_p50	6	1859	0.95	0.5	1.5468313652146728	-0.06700001433568928	Mouse_3__estim	3	p27CKO +EStim	estim	12	465	0.025806451612903226
